# John the Ripper format-test conformance, one line per format.
# Regenerate with `go test -run TestJohnFormatConformance -args -update-john-baseline`.
descrypt	CRACKED
bsdicrypt	CRACKED
md5crypt	CRACKED
md5crypt-long	CRACKED
bcrypt	CRACKED
scrypt	NOT-DETECTED
LM	NOT-DETECTED
AFS	NOT-DETECTED
tripcode	NOT-FOUND
AndroidBackup	CRACKED
adxcrypt	NOT-DETECTED
agilekeychain	NOT-DETECTED
aix-ssha1	CRACKED
aix-ssha256	CRACKED
aix-ssha512	CRACKED
andOTP	NOT-DETECTED
ansible	CRACKED
argon2	CRACKED
as400-des	NOT-DETECTED
as400-ssha1	NOT-DETECTED
asa-md5	NOT-DETECTED
AxCrypt	CRACKED
AzureAD	NOT-DETECTED
BestCrypt	NOT-DETECTED
bfegg	NOT-DETECTED
Bitcoin	CRACKED
BitLocker	CRACKED
bitshares	NOT-DETECTED
Bitwarden	CRACKED
BKS	NOT-DETECTED
Blackberry-ES10	NOT-DETECTED
WoWSRP	NOT-DETECTED
Blockchain	CRACKED
chap	NOT-DETECTED
Clipperz	NOT-DETECTED
cloudkeychain	NOT-DETECTED
dynamic=md5($p)	NOT-DETECTED
cq	NOT-DETECTED
CRC32	NOT-DETECTED
sha1crypt	NOT-FOUND
sha256crypt	CRACKED
sha512crypt	CRACKED
Citrix_NS10	NOT-FOUND
dahua	NOT-DETECTED
dashlane	NOT-DETECTED
diskcryptor	CRACKED
Django	NOT-DETECTED
django-scrypt	REJECTED
dmd5	NOT-DETECTED
dmg	REJECTED
dominosec	NOT-FOUND
dominosec8	CRACKED
DPAPImk	CRACKED
dragonfly3-32	NOT-DETECTED
dragonfly3-64	NOT-DETECTED
dragonfly4-32	NOT-DETECTED
dragonfly4-64	NOT-DETECTED
Drupal7	CRACKED
eCryptfs	CRACKED
eigrp	NOT-DETECTED
electrum	CRACKED
EncFS	CRACKED
enpass	NOT-DETECTED
EPI	NOT-DETECTED
EPiServer	CRACKED
ethereum	CRACKED
fde	CRACKED
Fortigate256	CRACKED
Fortigate	CRACKED
FormSpring	NOT-DETECTED
FVDE	CRACKED
geli	NOT-DETECTED
gost	NOT-FOUND
gpg	CRACKED
HAVAL-128-4	NOT-FOUND
HAVAL-256-3	NOT-FOUND
hdaa	NOT-DETECTED
hMailServer	NOT-DETECTED
hsrp	NOT-DETECTED
IKE	NOT-DETECTED
ipb2	NOT-DETECTED
itunes-backup	CRACKED
iwork	CRACKED
KeePass	REJECTED
keychain	CRACKED
keyring	NOT-DETECTED
keystore	NOT-DETECTED
known_hosts	NOT-DETECTED
krb4	NOT-DETECTED
krb5	NOT-DETECTED
krb5asrep	NOT-DETECTED
krb5pa-sha1	REJECTED
krb5tgs	CRACKED
krb5-17	NOT-DETECTED
krb5-18	NOT-DETECTED
krb5-3	NOT-DETECTED
kwallet	NOT-DETECTED
lp	NOT-DETECTED
lpcli	NOT-DETECTED
leet	NOT-DETECTED
lotus5	NOT-FOUND
lotus85	NOT-DETECTED
LUKS	REJECTED
MD2	NOT-DETECTED
mdc2	NOT-DETECTED
MediaWiki	CRACKED
monero	CRACKED
money	NOT-DETECTED
MongoDB	NOT-DETECTED
scram	NOT-DETECTED
Mozilla	CRACKED
mscash	NOT-DETECTED
mscash2	NOT-DETECTED
MSCHAPv2	NOT-DETECTED
mschapv2-naive	NOT-FOUND
krb5pa-md5	CRACKED
mssql	CRACKED
mssql05	CRACKED
mssql12	CRACKED
multibit	CRACKED
mysqlna	CRACKED
mysql-sha1	CRACKED
mysql	CRACKED
net-ah	NOT-DETECTED
nethalflm	NOT-DETECTED
netlm	NOT-DETECTED
netlmv2	NOT-FOUND
net-md5	NOT-DETECTED
netntlmv2	CRACKED
netntlm	NOT-DETECTED
netntlm-naive	NOT-DETECTED
net-sha1	NOT-DETECTED
nk	NOT-DETECTED
notes	CRACKED
