android-backup	androidbackup
apr1	md5crypt
bcrypt	bcrypt
bitcoin	bitcoin
bitlocker	bitlocker
blockchain	blockchain
cisco-pix	pix-md5
dcc2	mscash2
descrypt	descrypt
dmg	dmg
drupal7	Drupal7
electrum	electrum
encfs	encfs
fortigate	fortigate
fortigate256	fortigate256
hmailserver	hmailserver
keccak256	raw-keccak-256
krb5asrep	krb5asrep
md2	md2
md4	raw-md4
md5	raw-md5
md5crypt	md5crypt
mediawiki	mediawiki
mysql323	mysql
mysql41	mysql-sha1
netntlmv2	netntlmv2
ntlm	NT
office	office
pdf	PDF
phpass	phpass
pwsafe	pwsafe
rar4	rar
ripemd128	ripemd-128
ripemd160	ripemd-160
sap-fg	sapg
sha1	raw-sha1
sha1crypt	sha1crypt
sha224	raw-sha224
sha256	raw-sha256
sha256crypt	sha256crypt
sha384	raw-sha384
sha512	raw-sha512
signal	signal
sip	SIP
solarwinds	solarwinds
sspr	sspr
sybase	sybasease
tacacs-plus	tacacs-plus
tripcode	tripcode
vnc	VNC
whirlpool	whirlpool
xmpp-scram	xmpp-scram
